title	is_fake
Вратарь сборной Исландии заранее готовился к пенальти от Месси	0
На Всемирной Фольклориаде в Уфе выведен новый штамм коронавируса	1
Муамар Каддафи стал совладельцем Ювентуса	0
В Китае появилась первая биотехнологическая майнинговая ферма	1
Теодору Рузвельту продлят срок службы	0
Милонов потребовал не пускать «Океан Ельзи» в Россию	0
Новый закон выведет депутатов из-под действия законов	1
Беглов объявил о старте сезона разведения мостов в Санкт-Петербурге	1
Для участия в акциях протеста россиян обяжут предоставить справку от психиатра	1
В Сколково доставлен образец кристалла с кометы Галлея для анти-масс-спектрографии	1
Японские футболисты изуродовали машину	0
Автор книг о Гарри Поттере пожертвовала 100 000 долларов на борьбу с раком	0
В Омске задержали троих мужчин, которые попытались вбросить бюллетени 1937 года за Сталина	1
«Когда нас на автобусах возили к президенту, все «деды» заняли места у окна»: Анатолий Вассерман рассказал о случаях дедовщины в Госдуме	1
Японский экспорт сократился в ноябре на четверть	0
Из-за коронавирусных ограничений 30 процентов школьниц не смогли потерять девственность на выпускном	1
Демократическая партия США отзовёт из Палаты представителей всех гетеросексуальных конгрессменов	1
Великобритания изменит дату смерти на могиле Джорджа Оруэлла	1
Российский футбольный союз не принял извинений капитана сборной Латвии	0
Рейтинг Джо Байдена вырос на 10% после появления билбордов в Пенсильвании	1
Учёные Сколково установили, что частое использование кофеварки ускоряет её износ	1
По предложению РГО Землю Франца-Иосифа переименуют в Землю Петра и Февронии	1
За неделю плееры Blu-ray отвоевали у HD DVD треть рынка	0
Нидерланды увеличат свой контингент в Афганистане	0
Из-за дефицита урана тепловыделяющие сборки на Белорусской АЭС заменят процессорами AMD	1
Учитель музыки, рассказывавший детям про соль, останется под стражей до суда	1
«Мегафон» перестал предоставлять доступ в интернет на рейсах «Аэрофлота»	0
Франция продаст атомные подлодки, от которых отказалась Австралия, в КНДР	1
Кремль предоставит оппозиционным деятелям культуры бесплатный билет на пароход до Стокгольма	1
Walt Disney выпустит ранний мультфильм Бертона в 3D	0
«Сталин тоже был осведомителем охранного отделения»: глава Общественной палаты призвала граждан активнее сообщать о нарушениях закона	1
«Ваш Гагарин - безбожник»: РПЦ призвала не идеализировать личность первого космонавта	1
Индекс РТС упал ниже 1500 пунктов	0
АНБ проверит причастность российских спецслужб к заражению Джен Псаки коронавирусом	1
Эмблему Олимпиады-2020 в Токио заменят из-за обвинений в плагиате	0
Президент Монголии назвал Александра Невского лучшим русским правителем	1
Владимир Крикунов покинет пост тренера российской хоккейной сборной	0
В сборную России пригласили новую биатлонистку	0
Из-за санкций США в России уберут английские надписи со схем навигации	1
В Госдуму внесли законопроект, запрещающий публично подвергать сомнению результаты выборов	1
Армия США заказала крупную партию приборов ночного видения	0
Мороз заставит разбронировать стратегические резервы топлива	0
На следующих президентских выборах американцы будут голосовать исключительно по почте	1
Балтфлот требует с губернатора Беглова 610 рублей за испорченную рынду	1
Из-за ужесточения санитарных норм апарт-отель Аркадия Ротенберга оказался на грани банкротства	1
Минюст обратился в суд о взыскании с Навального выплаченной ему компенсации по решению ЕСПЧ	1
Румыния попросила у ЕС и МВФ антикризисные кредиты	0
Зюзинский суд обязал Юрия Дудя согласовывать с МВД кандидатуры для интервью	1
Минкульт предложил высечь знаменитую фразу Лаврова в граните и установить перед МИД	1
Многодетный отец продал пенсионерам более тысячи талонов на интернет	1
Профсоюз рэперов Москвы потребовал освободить Оксимирона	1
Инфляция в России с начала года превысила три процента	0
Астрономы обнаружили черные дыры в финансовом отчете «Роснано»	1
Авиакомпания Utair избавится от всех Ту-134	0
Телекомментатор отказался извиняться перед Плющенко	0
Итоги года. Хорошие новости	1
Российские биатлонистки остались без медалей в индивидуальной гонке	0
Подмосковье получит компенсацию за расширение Москвы	0
В России запретят продавать автомобили без ограничителя скорости	1
Хабаровские коммунальные службы перекрасили всю Великую Китайскую стену из-за граффити с Навальным	1
Давида Микеланджело защитят от грязи с помощью сквозняка	0
Долги российских регионов выросли на 20 процентов за год	0
Боярский потерял надежду на чемпионство «Зенита»	0
В Белом Доме объяснили миролюбивый тон речи Байдена сбоем в работе телесуфлёра	1
Центробанк будет лишать лицензии банки, предоставляющие кредиты на покупку игровых приставок	1
Сборная России разгромила Анжи	0
Россия поплатится за отсталость	0
«Нет веры буржуазному суду»: КПРФ оспорит итоги выборов в собственной партийной тройке	1
Клуб из Сан-Марино пригласил Ромарио и Шумахера для участия в Лиге чемпионов	0
Интервью Марадоны напомнило о его пагубных пристрастиях	0
В Уголовном кодексе появится наказание за разглагольствование	1
Следственный комитет установил всех участников массовых беспорядков августа 1991-го	1
Ковальчук оторвался от Овечкина в споре снайперов НХЛ	0
Visa и Mastercard могут разделить судьбу Microsoft	0
Во ФСИН не смогли объяснить, как Ефремов снялся в сериале 2021 года	1
Оппозиция отвергла вторую кандидатуру на пост председателя японского ЦБ	0
Чемпион НБА оказался на грани вылета из плей-офф	0
Биржи подняли стоимость Сбербанка на пять процентов	0
На Дальнем Востоке задержали двух рыбаков, раскачивавших лодку	1
Сэм Мендес поставит мюзикл по Чарли и шоколадной фабрике	0
На установку нового дорожного знака Тротуар выделят 20 миллиардов рублей	1
Петербуржцам запретят выходить на улицу во время проведения парада ВМФ	1
В Госдуме призвали не платить пенсию впавшим в маразм	1
Москва пожертвует демонтированную плитку заповеднику «Херсонес Таврический»	1
Бактерии превратят растения в спирт	0
Несанкционированный митинг в поддержку арестованного губернатора Белозерцева проходит в Пензе	1
Учёные из “Сколково” разработали систему Умного электронного голосования	1
Чучело Евгения Понасенкова выставят в Палате мер и весов	1
Жертвы Мейдоффа и Стэнфорда объединились ради жалобы в Конгресс США	0
Исполняющая обязанности директора Исаакия Вовненко порадовалась уходу с поста	0
Twitter замедлил работу аккаунта Роскомнадзора	1
Волгоградского депутата, пересевшего на общественный транспорт, будут судить за попытку насильственного свержения власти	1
Осуждённых по статье УК за мошенничество привлекут к работе на выборах в Госдуму	1
Российский защитник забросил победную шайбу в матче НХЛ	0
«Марш побежденных»: арестованных протестующих проведут под конвоем по центру Москвы	1
Юрий Розум опроверг свое назначение ректором Гнесинки	0
Деятелей культуры, публично выражающих антигосударственную позицию, лишат статуса «российский»	1
Динара Сафина вышла в 1/8 финала Australian Open	0
Минсельхоз предложил бесплатно раздавать земли под аграрные проекты	0
Шохин занялся перестановками в РСПП	0
Рекордная выручка Apple привела к обвалу акций компании	0
Станислав Черчесов назначен главным тренером сборной России по хоккею	1
«Яндекс» и МВД объявили о создании онлайн-проекта Я.Осведомитель	1
Министр нефти Ирана указал ОПЕК на чрезмерный экспорт	0
Анатолий Вассерман на пресс-конференции верно ответил на 50 вопросов журналистов	1
Российский бобслеист-олимпиец объявил о возвращении в армрестлинг	0
Делегация ЦИК Беларуси прибыла в Москву на курсы повышения квалификации	1
Российские фехтовальщики выиграли два золота чемпионата мира	0
Валентина Терешкова с утра внесёт в Госдуму законопроект о полном запрете на оружие для гражданских	1
Сборная России отказалась забивать голы, пока Губерниев не встанет на колени перед Бузовой	1
В Совфеде призвали ввести запрещенные Конституцией цензуру и идеологию	1
Депутат призвал россиян соблюдать Великий пост до окончания пандемии	1
Среди привившихся в июне молодых москвичей разыграют военные билеты	1
Зюганов выгнал из партии кухарку, которая намеревалась стать лидером КПРФ	1
Уралвагонзавод приостановил работу из-за задержания рабочих вечерней смены	1
Дмитрий Солдатов возглавил российский список Forbes	1
Пенсионный фонд запросил у правительства 500 млрд рублей из-за падения цены биткоина	1
Виктор Янукович представил книгу «Независимая Украина, 30 лет деградации»	1
Американский Eximbank нашел, кому дать деньги	0
Губернатор Моргенштерн, заблокированный Суэцкий канал, новые полномочия у Пенсионного фонда и уникальная медицинская операция в Екатеринбурге в нашей еженедельной рубрике «Панорама недели»	1
Европейская экономика падет под натиском китайцев	0
В Полинезии нашли зубы Поля Гогена	0
Призывников, негодных по состоянию здоровья, отправят на альтернативную гражданскую службу	1
Госслужащим с лишним весом выдадут денежные пособия на поддержание здоровья	1
В «Сколково» выпустили новую модель клюкала	1
Погребальную группу из Ганы заметили в одной из гостиниц Покрова	1
Живите в лесу: Эрдоган распорядился за неделю выселить из турецких городов всех противников вакцинации	1
В составе московской водопроводной воды нашли взрывоопасный газ	1
Дед Мороз проведёт прямую линию на «Первом канале» 30 декабря	1
В Париже завели дело о поддельных билетах в Лувр	0
Лорел Хаббард объяснила неудачу на Олимпиаде беременностью	1
Суд взыскал 20 млн рублей с двойника Александра Петрова, обманом получившего главную роль в фильме «Стрельцов»	1
Американские спасатели смогут отказать в помощи расистам и гомофобам	1
Раздачу частот 4G без конкурса засекретили	0
Бывший совладелец «ЮКОСа» рассказал о доле Березовского в «Сибнефти»	0
Лоза раскритиковал Навального за попытку бороться с коррупцией	1
Российские студенты помогут афганским фермерам собрать урожай	1
Робот-тостер прошагал рекордное расстояние	0
Formula-1: Хаккинен одерживает первую победу в сезоне	0
Роналду вышел на ринг с чемпионом UFC Макгрегором	0
В Иркутске задержали школьника, заказавшего по почте иностранные учебные пособия по биологии	1
Белоруссия приостановит поставку морепродуктов в Норвегию в ответ на давление на правительство	1
Неймар подаст встречный иск к «Барселоне»	0
Римейки трех частей Dragon Quest выйдут в Америке	0
Локомотив выиграл Кубок России	0
Журналист Караулов попросил денег на исторический фильм Художник. Воин. Мечтатель	1
Фрэнк Лэмпард умоляет грабителей вернуть именные бутсы	0
Зенит нашел и наказал виновных в нарушении регламента	0
Каспаров в Линаресе не смог обыграть соперника по несостоявшемуся чемпионскому матчу	0
«Он был крестным отцом румынского народа»: в Бухаресте прошли акции, посвященные памяти Чаушеску	1
Армия Австралии закупит тысячи машин на 7,5 миллиарда долларов	0
Молодым работникам разрешат пять лет думать над судьбой пенсии	0
Джейсон Шрайер: «Действия Far Cry 7 будут проходить в Беларуси»	1
ООН признала «сталинскую» конституцию самой демократичной в истории	1
Динамо выкупит акции футбольного клуба у Федорычева	0
Mail.ru введёт плату за использование почтовых ящиков	1
Футболисты итальянских клубов объявят забастовку	0
Скрытый Лист вышлет 20 дипломатов Скрытого Дождя после инцидента с двумя шпионами	1
Хоакин Феникс оставит кино ради музыки	0
Касьянов: рост ВВП обгоняет прогнозы	0
Джордж Буш снова собирается бурить Аляску	0
Найденный в контейнере советский луноход оказался макетом	0
